function,taylor_expansion
x*sin(x)/2 - 3*exp(x) + log(x + 1)/3,-7*x**4/24 - 7*x**3/18 - 7*x**2/6 - 8*x/3 - 3
3*x**2 - log(x + 1) + 2*tan(x),x**4/4 + x**3/3 + 7*x**2/2 + x
exp(x)/3 - exp(-x),-x**4/36 + 2*x**3/9 - x**2/3 + 4*x/3 - 2/3
sqrt(x + 1)/3 + 2*sin(x)**2,-87*x**4/128 + x**3/48 + 47*x**2/24 + x/6 + 1/3
exp(x)/3 - 2*sin(2*x) + tanh(x)/3,x**4/72 + 47*x**3/18 + x**2/6 - 10*x/3 + 1/3
2*x*sin(x) + x*cos(x)/2 + 3*sin(x)**2,-4*x**4/3 - x**3/4 + 5*x**2 + x/2
-2*x**3 + log(x + 1)/3 + exp(-x)/2,-x**4/16 - 71*x**3/36 + x**2/12 - x/6 + 1/2
-2*x**2 + sin(2*x)/2 - tanh(x),-x**3/3 - 2*x**2
-x*sin(x) + 3*cos(x) + 2*exp(-x) + 1/(3*(x + 1)),17*x**4/24 - 2*x**3/3 - 7*x**2/6 - 7*x/3 + 16/3
sqrt(x + 1)/3 + cos(x)/2,x**4/128 + x**3/48 - 7*x**2/24 + x/6 + 5/6
-3*x**2 - sinh(x) - 2*tanh(x),x**3/2 - 3*x**2 - 3*x
-2*x*cos(x) + 2*exp(x),x**4/12 + 4*x**3/3 + x**2 + 2
2*x + cosh(x) + 1/(3*(x + 1)),3*x**4/8 - x**3/3 + 5*x**2/6 + 5*x/3 + 4/3
cos(x)/3 + cosh(x)/2 + 3/(x + 1),437*x**4/144 - 3*x**3 + 37*x**2/12 - 3*x + 23/6
-x**3 - 3*cos(x)**2 + cos(2*x)/3 + 2*exp(-x),-25*x**4/36 - 4*x**3/3 + 10*x**2/3 - 2*x - 2/3
-sin(x)**2 + exp(-x)/3,25*x**4/72 - x**3/18 - 5*x**2/6 - x/3 + 1/3
3*x*sin(x) + 2*cos(x)**2 - cosh(x) - 2*exp(-x),x**4/24 + x**3/3 - x**2/2 + 2*x - 1
x/3 - sin(x)**2 + sin(2*x)/2,x**4/3 - 2*x**3/3 - x**2 + 4*x/3
sin(x) - cos(x) - tan(x) + 2*exp(-x),x**4/24 - 5*x**3/6 + 3*x**2/2 - 2*x + 1
x**2/3 + x/2 - sin(x)**2,x**4/3 - 2*x**2/3 + x/2
sqrt(x + 1)/2 + log(x + 1)/3 + tan(x),-79*x**4/768 + 137*x**3/288 - 11*x**2/48 + 19*x/12 + 1/2
-sin(x)**2 - cos(x)**2 + cos(x) + cosh(x)/2,x**4/16 - x**2/4 + 1/2
x**3/2 + sin(2*x)/3,x**3/18 + 2*x/3
3*x*sin(x) + x/2 - 3*exp(x),-5*x**4/8 - x**3/2 + 3*x**2/2 - 5*x/2 - 3
x/2 + sin(x)**2/3 - 3*tanh(x),-x**4/9 + x**3 + x**2/3 - 5*x/2
-x**3 - 3*log(x + 1) + 2*sin(x),3*x**4/4 - 7*x**3/3 + 3*x**2/2 - x
2*sqrt(x + 1) + 2*exp(-x),x**4/192 - 5*x**3/24 + 3*x**2/4 - x + 4
3*exp(x) - log(x + 1) + 3*sin(x)**2,-5*x**4/8 + x**3/6 + 5*x**2 + 2*x + 3
3*x + sin(x)**2/3,-x**4/9 + x**2/3 + 3*x
2*log(x + 1) + sin(x) + 3*tanh(x),-x**4/2 - x**3/2 - x**2 + 6*x
sqrt(x + 1)/2 + 3*exp(x) + 3*cos(2*x),539*x**4/256 + 17*x**3/32 - 73*x**2/16 + 13*x/4 + 13/2
-3*x + 3*sin(x)**2 + 3*tanh(x),-x**4 - x**3 + 3*x**2
-2*sin(x)**2 - 3*cos(2*x) - 3*tanh(x),-4*x**4/3 + x**3 + 4*x**2 - 3*x - 3
2*x**3 - 2*x - 3*sqrt(x + 1),15*x**4/128 + 29*x**3/16 + 3*x**2/8 - 7*x/2 - 3
exp(x) + cos(x)/3 - 1/(x + 1),-17*x**4/18 + 7*x**3/6 - 2*x**2/3 + 2*x + 1/3
3*x - 2*sqrt(x + 1) + 3*sin(x),5*x**4/64 - 5*x**3/8 + x**2/4 + 5*x - 2
3*x*sin(x) + x*cos(x)/2 + x/3 - 3*cos(x)**2,-3*x**4/2 - x**3/4 + 6*x**2 + 5*x/6 - 3
3*x - 2*sin(x) - cos(x)**2 - 1/(x + 1),-4*x**4/3 + 4*x**3/3 + 2*x - 2
x**2/3 + 2*x*cos(x) + log(x + 1) - cos(x),-7*x**4/24 - 2*x**3/3 + x**2/3 + 3*x - 1
-2*sin(x)**2 + sin(2*x) - cos(2*x),-4*x**3/3 + 2*x - 1
x*cos(x)/2 + sin(x)**2/3 - 2*exp(-x),-7*x**4/36 + x**3/12 - 2*x**2/3 + 5*x/2 - 2
x**3 + 3*exp(x) + 3*sinh(x),x**4/8 + 2*x**3 + 3*x**2/2 + 6*x + 3
sin(x)**2 - 2*tanh(x) + 2*exp(-x) - 3/(x + 1),-13*x**4/4 + 10*x**3/3 - x**2 - x - 1
x/2 + 2*exp(x) + 2*cos(x)**2,3*x**4/4 + x**3/3 - x**2 + 5*x/2 + 4
3*sin(x)**2 + 1/(x + 1),-x**3 + 4*x**2 - x + 1
2*x*cos(x) + 3*sin(x) + cosh(x)/2,x**4/48 - 3*x**3/2 + x**2/4 + 5*x + 1/2
-2*sqrt(x + 1) - 3*log(x + 1) - 2*sin(x)**2,287*x**4/192 - 9*x**3/8 - x**2/4 - 4*x - 2
3*sqrt(x + 1) - 2*cosh(x) - tanh(x) - 1/(x + 1),-461*x**4/384 + 73*x**3/48 - 19*x**2/8 + 3*x/2
x*sin(x)/2 + tan(x)/2,-x**4/12 + x**3/6 + x**2/2 + x/2
-2*x*cos(x) - cosh(x) + tanh(x)/2 + 1/(3*(x + 1)),7*x**4/24 + x**3/2 - x**2/6 - 11*x/6 - 2/3
2*x - 2*log(x + 1) + cos(x)**2/3 - 2*tanh(x),11*x**4/18 + 2*x**2/3 - 2*x + 1/3
-3*cos(x) + tan(x)/3 + cosh(x)/2,-5*x**4/48 + x**3/9 + 7*x**2/4 + x/3 - 5/2
-3*exp(x) + 2*sin(2*x) + 2*cosh(x),-x**4/24 - 19*x**3/6 - x**2/2 + x - 1
-2*x + cos(x)**2/3 + cos(x)/3,x**4/8 - x**2/2 - 2*x + 2/3
2*x*sin(x) + 2*sinh(x) + 1/(x + 1),2*x**4/3 - 2*x**3/3 + 3*x**2 + x + 1
3*x**3 + cos(x)/2 + cosh(x),x**4/16 + 3*x**3 + x**2/4 + 3/2
x*cos(x) + 2*sqrt(x + 1),-5*x**4/64 - 3*x**3/8 - x**2/4 + 2*x + 2
x**3/3 - 3*sqrt(x + 1),15*x**4/128 + 7*x**3/48 + 3*x**2/8 - 3*x/2 - 3
-2*x*sin(x) + x/2 - 2*tan(x),x**4/3 - 2*x**3/3 - 2*x**2 - 3*x/2
2*x - 3*sin(x)**2 - 3*tanh(x),x**4 + x**3 - 3*x**2 - x
-sqrt(x + 1) - 2*sin(x)**2 + 3/(x + 1),1423*x**4/384 - 49*x**3/16 + 9*x**2/8 - 7*x/2 + 2
3*x*sin(x) + log(x + 1)/2 - tanh(x),-5*x**4/8 + x**3/2 + 11*x**2/4 - x/2
-sqrt(x + 1) - sin(2*x) - cosh(x),-x**4/384 + 61*x**3/48 - 3*x**2/8 - 5*x/2 - 2
-2*x*cos(x) - 3*cos(x)**2 - cosh(x),-25*x**4/24 + x**3 + 5*x**2/2 - 2*x - 4
2*sqrt(x + 1) + exp(-x)/3 - 2/(x + 1),-1189*x**4/576 + 149*x**3/72 - 25*x**2/12 + 8*x/3 + 1/3
sin(2*x) + tan(x)/2 + 3*cosh(x),x**4/8 - 7*x**3/6 + 3*x**2/2 + 5*x/2 + 3
exp(x)/3 - cos(2*x) + 1/(x + 1),25*x**4/72 - 17*x**3/18 + 19*x**2/6 - 2*x/3 + 1/3
2*x**2 - 2*sin(x)**2 + cosh(x)/3 - 2/(x + 1),-95*x**4/72 + 2*x**3 - 11*x**2/6 + 2*x - 5/3
sqrt(x + 1)/2 - cos(x),-47*x**4/768 + x**3/32 + 7*x**2/16 + x/4 - 1/2
2*x - cos(x)**2,-x**4/3 + x**2 + 2*x - 1
sin(2*x)/2 + 3*cos(2*x) + tan(x)/3 + 3*tanh(x),2*x**4 - 14*x**3/9 - 6*x**2 + 13*x/3 + 3
x*sin(x)/2 - 3*sin(x) - 2*sin(2*x),-x**4/12 + 19*x**3/6 + x**2/2 - 7*x
-x*cos(x) + 3*cos(x) + tanh(x) - 3/(x + 1),-23*x**4/8 + 19*x**3/6 - 9*x**2/2 + 3*x
sin(x)/3 + sinh(x) + 3*tanh(x),-8*x**3/9 + 13*x/3
-sin(x)**2 + 3*sin(2*x),x**4/3 - 4*x**3 - x**2 + 6*x
-log(x + 1) - sin(2*x) - 2*cos(2*x) - 2*cosh(x),-7*x**4/6 + x**3 + 7*x**2/2 - 3*x - 4
2*x*sin(x) + exp(x)/3 - 3*cos(x) + exp(-x)/2,-61*x**4/144 - x**3/36 + 47*x**2/12 - x/6 - 13/6
x + 2*sin(2*x) + 3*sinh(x),-13*x**3/6 + 8*x
2*log(x + 1) - 2*sin(x)**2 + sin(x)/3 - 3*cos(x),x**4/24 + 11*x**3/18 - 3*x**2/2 + 7*x/3 - 3
2*x*cos(x) - tan(x) + 3*tanh(x),-7*x**3/3 + 4*x
-2*exp(x) + sinh(x)/2 - 2*cosh(x),-x**4/6 - x**3/4 - 2*x**2 - 3*x/2 - 4
-3*cos(x) - cos(2*x) + 3*tan(x),-19*x**4/24 + x**3 + 7*x**2/2 + 3*x - 4
-2*x*cos(x) + sin(x)**2 + cos(2*x),x**4/3 + x**3 - x**2 - 2*x + 1
x*sin(x) + 3*sqrt(x + 1),-109*x**4/384 + 3*x**3/16 + 5*x**2/8 + 3*x/2 + 3
log(x + 1) - 3*cos(x)**2 + 1/(x + 1),-x**4/4 - 2*x**3/3 + 7*x**2/2 - 2
2*x - 2*exp(x) + sinh(x) + tanh(x)/3,-x**4/12 - 5*x**3/18 - x**2 + 4*x/3 - 2
3*x + exp(x) + sin(2*x)/2,x**4/24 - x**3/2 + x**2/2 + 5*x + 1
-sin(2*x) + tan(x)/2 + tanh(x)/3,25*x**3/18 - 7*x/6
-3*x - log(x + 1) + 3*sin(2*x),x**4/4 - 13*x**3/3 + x**2/2 + 2*x
-x*cos(x) + log(x + 1)/3 - sinh(x),-x**4/12 + 4*x**3/9 - x**2/6 - 5*x/3
-x*sin(x) + cos(x)/3 - 3*exp(-x),x**4/18 + x**3/2 - 8*x**2/3 + 3*x - 8/3
-2*x*sin(x) + sin(2*x)/3 - 3*tan(x) + 2*exp(-x),5*x**4/12 - 16*x**3/9 - x**2 - 13*x/3 + 2
-3*x**2 - log(x + 1) + cos(2*x) + sinh(x),11*x**4/12 - x**3/6 - 9*x**2/2 + 1
x**2/2 + 2*sin(2*x) + tanh(x)/2,-17*x**3/6 + x**2/2 + 9*x/2
-exp(x) - 2*cos(2*x),-11*x**4/8 - x**3/6 + 7*x**2/2 - x - 3
cosh(x)/2 + tanh(x) + 3*exp(-x),7*x**4/48 - 5*x**3/6 + 7*x**2/4 - 2*x + 7/2
x**2/3 + x*sin(x)/3 + exp(x)/2,-5*x**4/144 + x**3/12 + 11*x**2/12 + x/2 + 1/2
-x**2 - sqrt(x + 1) - 3*cos(2*x),-251*x**4/128 - x**3/16 + 41*x**2/8 - x/2 - 4
2*x*sin(x) + 3*sin(x) + exp(-x)/2,-5*x**4/16 - 7*x**3/12 + 9*x**2/4 + 5*x/2 + 1/2
-x**3 + sin(x)/3 - 2/(x + 1),-2*x**4 + 17*x**3/18 - 2*x**2 + 7*x/3 - 2
x**3 + 3*x + sin(x)**2/3 + 3*sin(2*x),-x**4/9 - 3*x**3 + x**2/3 + 9*x
exp(x) + 3*log(x + 1) + sin(x) - 2*exp(-x),-19*x**4/24 + 4*x**3/3 - 2*x**2 + 7*x - 1
cosh(x) + tanh(x)/2,x**4/24 - x**3/6 + x**2/2 + x/2 + 1
-2*sin(x)**2 - sin(x) + 3*cos(2*x),8*x**4/3 + x**3/6 - 8*x**2 - x + 3
3*sin(x) + cos(x) + 2*sinh(x) + 2*exp(-x),x**4/8 - x**3/2 + x**2/2 + 3*x + 3
-x*sin(x) - 3*exp(-x),x**4/24 + x**3/2 - 5*x**2/2 + 3*x - 3
sin(x)**2/2 + exp(-x)/3 + 1/(2*(x + 1)),25*x**4/72 - 5*x**3/9 + 7*x**2/6 - 5*x/6 + 5/6
2*x**2 + cos(x)/3 - 3*tanh(x),x**4/72 + x**3 + 11*x**2/6 - 3*x + 1/3
log(x + 1)/3 + 2*cos(2*x) - cosh(x),29*x**4/24 + x**3/9 - 14*x**2/3 + x/3 + 1
3*x**2 + 3*x - 3*sqrt(x + 1) + cos(2*x),301*x**4/384 - 3*x**3/16 + 11*x**2/8 + 3*x/2 - 2
-2*x**3 + 2*cos(x),x**4/12 - 2*x**3 - x**2 + 2
-3*x**3 - x**2 - 3*log(x + 1),3*x**4/4 - 4*x**3 + x**2/2 - 3*x
-3*x**3 + cos(x)**2 - 2*cos(2*x) - 3*tanh(x),-x**4 - 2*x**3 + 3*x**2 - 3*x - 1
-2*tan(x) - 3*sinh(x),-7*x**3/6 - 5*x
-sin(x)**2 + sin(2*x) + sinh(x)/3,x**4/3 - 23*x**3/18 - x**2 + 7*x/3
-3*sqrt(x + 1) + 2*sin(2*x) + 2*cos(x)**2,301*x**4/384 - 137*x**3/48 - 13*x**2/8 + 5*x/2 - 1
x**2/2 + x*cos(x) + 2*sinh(x),-x**3/6 + x**2/2 + 3*x
-3*x*cos(x) + x - sin(x) + exp(-x)/2,x**4/48 + 19*x**3/12 + x**2/4 - 7*x/2 + 1/2
x*cos(x)/2 + sinh(x)/3 + 3/(x + 1),3*x**4 - 115*x**3/36 + 3*x**2 - 13*x/6 + 3
x*sin(x)/3 + cos(x)**2/3 + tan(x)/2,x**4/18 + x**3/6 + x/2 + 1/3
x**2/3 + 2*x*sin(x) + sinh(x) + 2/(x + 1),5*x**4/3 - 11*x**3/6 + 13*x**2/3 - x + 2
-2*x*cos(x) - 2*sqrt(x + 1) + 3*cos(x),13*x**4/64 + 7*x**3/8 - 5*x**2/4 - 3*x + 1
3*x*sin(x) + x/2 + cos(x),-11*x**4/24 + 5*x**2/2 + x/2 + 1
-2*sin(x)**2 + tanh(x)/2,2*x**4/3 - x**3/6 - 2*x**2 + x/2
-3*x**2 - 2*x*sin(x) + x*cos(x) + 3*sin(2*x),x**4/3 - 9*x**3/2 - 5*x**2 + 7*x
3*x*sin(x) + 2*x*cos(x) - sqrt(x + 1) - sin(x),-59*x**4/128 - 43*x**3/48 + 25*x**2/8 + x/2 - 1
-3*sin(x)**2 + cos(x)/3 - 2/(x + 1),-71*x**4/72 + 2*x**3 - 31*x**2/6 + 2*x - 5/3
2*x*sin(x) + cosh(x)/3,-23*x**4/72 + 13*x**2/6 + 1/3
-3*x**3 + 2*sin(x) + cos(2*x)/2,x**4/3 - 10*x**3/3 - x**2 + 2*x + 1/2
3*x*sin(x) + log(x + 1)/2 + sin(x)**2,-23*x**4/24 + x**3/6 + 15*x**2/4 + x/2
2*x**2 + sqrt(x + 1)/2 - 2*sin(x),-5*x**4/256 + 35*x**3/96 + 31*x**2/16 - 7*x/4 + 1/2
-2*sqrt(x + 1) + exp(-x) + 1/(2*(x + 1)),119*x**4/192 - 19*x**3/24 + 5*x**2/4 - 5*x/2 - 1/2
x*sin(x)/3 + log(x + 1)/3 + sin(x)/2,-5*x**4/36 + x**3/36 + x**2/6 + 5*x/6
3*x**3 - 2*x - cos(x),-x**4/24 + 3*x**3 + x**2/2 - 2*x - 1
2*x*cos(x) - exp(x) + 2*tan(x),-x**4/24 - x**3/2 - x**2/2 + 3*x - 1
-2*x**2 - 3*x + 2*cos(2*x) + cosh(x),11*x**4/8 - 11*x**2/2 - 3*x + 3
sin(x)/3 - cos(2*x) + 2*tan(x),-2*x**4/3 + 11*x**3/18 + 2*x**2 + 7*x/3 - 1
3*x*sin(x) + sin(x)**2/2,-2*x**4/3 + 7*x**2/2
2*x**2 + x*cos(x) + log(x + 1)/2 - 3*cos(x)**2,-9*x**4/8 - x**3/3 + 19*x**2/4 + 3*x/2 - 3
2*x**3 + log(x + 1)/2 + cosh(x)/3,-x**4/9 + 13*x**3/6 - x**2/12 + x/2 + 1/3
3*x*cos(x) + 3*exp(x) + 2*sin(x)**2 + tan(x)/3,-13*x**4/24 - 8*x**3/9 + 7*x**2/2 + 19*x/3 + 3
3*sinh(x) - 2*cosh(x) + exp(-x)/2,-x**4/16 + 5*x**3/12 - 3*x**2/4 + 5*x/2 - 3/2
2*x**3 + cos(x)**2/2 + 2*cos(2*x),3*x**4/2 + 2*x**3 - 9*x**2/2 + 5/2
3*x*cos(x) + sqrt(x + 1) - 2*exp(x),-47*x**4/384 - 85*x**3/48 - 9*x**2/8 + 3*x/2 - 1
x**2/2 + sqrt(x + 1)/3,-5*x**4/384 + x**3/48 + 11*x**2/24 + x/6 + 1/3
3*sqrt(x + 1) - 2*sin(2*x) + cosh(x)/2,-37*x**4/384 + 137*x**3/48 - x**2/8 - 5*x/2 + 7/2
3*cos(2*x) + 3*tan(x),2*x**4 + x**3 - 6*x**2 + 3*x + 3
x**2/2 - 2*x*sin(x) - 2*x,x**4/3 - 3*x**2/2 - 2*x
x*sin(x)/3 - 2*exp(x) + cos(x),-7*x**4/72 - x**3/3 - 7*x**2/6 - 2*x - 1
-x - 3*exp(-x),-x**4/8 + x**3/2 - 3*x**2/2 + 2*x - 3
x*sin(x)/2 + 3*sin(x)**2 + sin(2*x)/2 + exp(-x)/3,-77*x**4/72 - 13*x**3/18 + 11*x**2/3 + 2*x/3 + 1/3
2*exp(x) + 2*cos(x)**2 + cos(x)/3,55*x**4/72 + x**3/3 - 7*x**2/6 + 2*x + 13/3
x**2/2 + exp(x)/3 + 3*sinh(x),x**4/72 + 5*x**3/9 + 2*x**2/3 + 10*x/3 + 1/3
-x**2 + 2*log(x + 1) - 2*cos(x)**2,-7*x**4/6 + 2*x**3/3 + 2*x - 2
3*sin(x)**2 - 3/(x + 1),-4*x**4 + 3*x**3 + 3*x - 3
2*x*sin(x) + 2*sqrt(x + 1) + log(x + 1)/2 + 3*sinh(x),-103*x**4/192 + 19*x**3/24 + 3*x**2/2 + 9*x/2 + 2
x*cos(x)/3 + 3*exp(x) + 2*sin(x) - sin(2*x),x**4/8 + 4*x**3/3 + 3*x**2/2 + 10*x/3 + 3
-x*cos(x) - sqrt(x + 1),5*x**4/128 + 7*x**3/16 + x**2/8 - 3*x/2 - 1
2*sin(2*x) - cos(x)**2 + tanh(x),-x**4/3 - 3*x**3 + x**2 + 5*x - 1
2*x**2 - 3*cos(x) + sinh(x)/2,-x**4/8 + x**3/12 + 7*x**2/2 + x/2 - 3
x**3/2 + x**2/2 - 3*tan(x) + 2*tanh(x),-7*x**3/6 + x**2/2 - x
x/3 - 2*sqrt(x + 1) + cos(2*x)/2,79*x**4/192 - x**3/8 - 3*x**2/4 - 2*x/3 - 3/2
2*x + sqrt(x + 1) + 2*sin(x) - 2*cosh(x),-47*x**4/384 - 13*x**3/48 - 9*x**2/8 + 9*x/2 - 1
3*x*sin(x) - 2*cos(2*x) + 1/(x + 1),-5*x**4/6 - x**3 + 8*x**2 - x - 1
sinh(x) + cosh(x)/3,x**4/72 + x**3/6 + x**2/6 + x + 1/3
-3*exp(x) + 2*cos(x) + 3/(x + 1),71*x**4/24 - 7*x**3/2 + x**2/2 - 6*x + 2
-3*sqrt(x + 1) + 2*sin(x)**2 - sin(2*x),-211*x**4/384 + 55*x**3/48 + 19*x**2/8 - 7*x/2 - 3
2*x**3 + 3*sqrt(x + 1) + tan(x)/3,-15*x**4/128 + 331*x**3/144 - 3*x**2/8 + 11*x/6 + 3
2*sin(2*x) + 3*cos(2*x) + sinh(x),2*x**4 - 5*x**3/2 - 6*x**2 + 5*x + 3
-3*x*sin(x) - 3*sinh(x) + 1/(3*(x + 1)),5*x**4/6 - 5*x**3/6 - 8*x**2/3 - 10*x/3 + 1/3
-3*x**3 + x + tan(x)/3,-26*x**3/9 + 4*x/3
2*x**2 + 3*sqrt(x + 1) + 3*log(x + 1),-111*x**4/128 + 19*x**3/16 + x**2/8 + 9*x/2 + 3
x/3 - 3*sin(x) + tanh(x)/3,7*x**3/18 - 7*x/3
-2*x - tan(x) - 1/(x + 1),-x**4 + 2*x**3/3 - x**2 - 2*x - 1
x*sin(x)/2 + cos(x)**2/2 + cosh(x)/3,7*x**4/72 + x**2/6 + 5/6
x*cos(x)/3 - 2*exp(x) + tanh(x)/2,-x**4/12 - 2*x**3/3 - x**2 - 7*x/6 - 2
-3*x*sin(x) + log(x + 1)/2 + 2*sin(x)**2,-7*x**4/24 + x**3/6 - 5*x**2/4 + x/2
2*x - 2*log(x + 1) + 3*sin(x),x**4/2 - 7*x**3/6 + x**2 + 3*x
2*x - sqrt(x + 1) + log(x + 1)/3,-17*x**4/384 + 7*x**3/144 - x**2/24 + 11*x/6 - 1
3*sqrt(x + 1) + 2*exp(x) + sin(x)/3,-13*x**4/384 + 67*x**3/144 + 5*x**2/8 + 23*x/6 + 5
x + 3*sqrt(x + 1) - 2*log(x + 1),49*x**4/128 - 23*x**3/48 + 5*x**2/8 + x/2 + 3
-x*cos(x) - 3*cos(x)**2 + exp(-x),-23*x**4/24 + x**3/3 + 7*x**2/2 - 2*x - 2
-x*sin(x) + 3*cos(x)**2 - 2*cos(2*x),1 - x**4/6
2*exp(x) + 3*cos(x)**2 + 2*cos(2*x) + tan(x)/3,29*x**4/12 + 4*x**3/9 - 6*x**2 + 7*x/3 + 7
x*cos(x)/3 + 3*cos(x)**2 + 2*tan(x),x**4 + x**3/2 - 3*x**2 + 7*x/3 + 3
-2*exp(x) - tanh(x),-x**4/12 - x**2 - 3*x - 2
x**3/2 - 3*exp(x) + cos(x)**2/3,-x**4/72 - 11*x**2/6 - 3*x - 8/3
-3*x*sin(x) + cos(x)**2/3 + 3*cos(2*x),47*x**4/18 - 28*x**2/3 + 10/3
sin(x)/3 + 3*cos(x),x**4/8 - x**3/18 - 3*x**2/2 + x/3 + 3
-sin(2*x) - 2*cosh(x) + exp(-x) + 3/(x + 1),71*x**4/24 - 11*x**3/6 + 5*x**2/2 - 6*x + 2
-3*sqrt(x + 1) - 2*log(x + 1) + sin(2*x)/2,79*x**4/128 - 73*x**3/48 + 11*x**2/8 - 5*x/2 - 3
x*sin(x)/3 + cosh(x)/3,-x**4/24 + x**2/2 + 1/3
tan(x) - 2*sinh(x) - 2/(x + 1),-2*x**4 + 2*x**3 - 2*x**2 + x - 2
-x**3 - 2/(x + 1),-2*x**4 + x**3 - 2*x**2 + 2*x - 2
2*x**2 + 2*x*cos(x) + cos(2*x)/2 + tan(x),x**4/3 - 2*x**3/3 + x**2 + 3*x + 1/2
3*x + sqrt(x + 1)/3 - 2*sin(x)**2 + 1/(x + 1),635*x**4/384 - 47*x**3/48 - 25*x**2/24 + 13*x/6 + 4/3
sin(2*x)/2 + cos(2*x)/2 + exp(-x)/2 - 3/(x + 1),-127*x**4/48 + 9*x**3/4 - 15*x**2/4 + 7*x/2 - 2
-3*cos(2*x) + exp(-x)/3,-143*x**4/72 - x**3/18 + 37*x**2/6 - x/3 - 8/3
2*x*cos(x) + 3*cos(2*x),2*x**4 - x**3 - 6*x**2 + 2*x + 3
tan(x)/3 - 2*tanh(x),7*x**3/9 - 5*x/3
2*log(x + 1) + sin(x) - 2*tanh(x),-x**4/2 + 7*x**3/6 - x**2 + x
2*sqrt(x + 1) + cos(2*x)/2,49*x**4/192 + x**3/8 - 5*x**2/4 + x + 5/2
3*sin(x) + cosh(x)/2 - 1/(x + 1),-47*x**4/48 + x**3/2 - 3*x**2/4 + 4*x - 1/2
log(x + 1)/2 + exp(-x)/2 + 3/(x + 1),139*x**4/48 - 35*x**3/12 + 3*x**2 - 3*x + 7/2
2*x*sin(x) + 2*cos(x)**2 + 2*exp(-x),5*x**4/12 - x**3/3 + x**2 - 2*x + 4
exp(x)/2 + sinh(x)/2 + tanh(x)/3,x**4/48 + x**3/18 + x**2/4 + 4*x/3 + 1/2
2*x*sin(x) - 3*sqrt(x + 1),-83*x**4/384 - 3*x**3/16 + 19*x**2/8 - 3*x/2 - 3
tan(x)/3 + 3*exp(-x) + 1/(x + 1),9*x**4/8 - 25*x**3/18 + 5*x**2/2 - 11*x/3 + 4
-2*cos(x)**2 + 2/(x + 1),4*x**4/3 - 2*x**3 + 4*x**2 - 2*x
-3*x - 2*cos(2*x) - tan(x),-4*x**4/3 - x**3/3 + 4*x**2 - 4*x - 2
3*x*cos(x) + x/2 + exp(-x),x**4/24 - 5*x**3/3 + x**2/2 + 5*x/2 + 1
-sin(x)**2 + tan(x)/3 - tanh(x),x**4/3 + 4*x**3/9 - x**2 - 2*x/3
-2*sin(2*x) + cos(x)**2 + 3*cos(x) - 2*sinh(x),11*x**4/24 + 7*x**3/3 - 5*x**2/2 - 6*x + 4
-sin(x) - 1/(x + 1),-x**4 + 7*x**3/6 - x**2 - 1
-3*sin(x)**2 + tan(x)/2 + tanh(x),x**4 - x**3/6 - 3*x**2 + 3*x/2
sin(2*x)/2 + tanh(x)/3 + 1/(x + 1),x**4 - 16*x**3/9 + x**2 + x/3 + 1
sqrt(x + 1)/2 + 2*cosh(x) + exp(-x)/3,179*x**4/2304 - 7*x**3/288 + 53*x**2/48 - x/12 + 17/6
exp(x) + cos(2*x)/3,19*x**4/72 + x**3/6 - x**2/6 + x + 4/3
2*log(x + 1) + sin(2*x) + 3*cos(x) - exp(-x),-5*x**4/12 - x**3/2 - 3*x**2 + 5*x + 2
-x**2 - 2*cos(x) + tanh(x)/3,-x**4/12 - x**3/9 + x/3 - 2
-x + cos(x)**2 - 3*tanh(x),x**4/3 + x**3 - x**2 - 4*x + 1
exp(x)/3 + 2*cosh(x) + tanh(x)/3,7*x**4/72 - x**3/18 + 7*x**2/6 + 2*x/3 + 7/3
x*sin(x) - 2*sinh(x),-x**4/6 - x**3/3 + x**2 - 2*x
-cos(x) - 3*cos(2*x) + cosh(x)/2,-97*x**4/48 + 27*x**2/4 - 7/2
exp(x)/2 - 3*cos(2*x),-95*x**4/48 + x**3/12 + 25*x**2/4 + x/2 - 5/2
3*x**2 - 2*sin(x) + 3*tanh(x),-2*x**3/3 + 3*x**2 + x
3*exp(x) - 3*sin(x) - cos(2*x),-13*x**4/24 + x**3 + 7*x**2/2 + 2
sin(2*x) - 2*cos(x)**2 - 2*cos(x),-3*x**4/4 - 4*x**3/3 + 3*x**2 + 2*x - 4
3*log(x + 1) + sin(x)**2/2 - 3*sin(x),-11*x**4/12 + 3*x**3/2 - x**2
2*x*cos(x) + 2*sin(x) + 2*cos(x) - 3/(x + 1),-35*x**4/12 + 5*x**3/3 - 4*x**2 + 7*x - 1
2*x - 3*cos(x)**2 + cosh(x)/2,-47*x**4/48 + 13*x**2/4 + 2*x - 5/2
3*cos(2*x) + sinh(x) - 2*cosh(x),23*x**4/12 + x**3/6 - 7*x**2 + x + 1
x**3/3 + 2*exp(x) + 3*cos(x) + cos(2*x),7*x**4/8 + 2*x**3/3 - 5*x**2/2 + 2*x + 6
exp(x)/3 - sin(x)**2,25*x**4/72 + x**3/18 - 5*x**2/6 + x/3 + 1/3
sin(2*x)/2 - exp(-x),-x**4/24 - x**3/2 - x**2/2 + 2*x - 1
cos(x)**2/2 - 2*cos(x) + 3/(x + 1),37*x**4/12 - 3*x**3 + 7*x**2/2 - 3*x + 3/2
